        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 1.20000000e+02,        +7.296994660580e-13,        +8.407195639806e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.485800679558e-13,        +1.007205541466e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.489295918780e-13,        +1.007057424621e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.21000000e+02,        +7.324100005020e-13,        +8.391563133393e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.511829189183e-13,        +1.001744598372e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.515323391346e-13,        +1.001601782102e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +7.351067165626e-13,        +8.375893037428e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.537737436631e-13,        +9.963911389828e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.541230183137e-13,        +9.962536051251e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.23000000e+02,        +7.377888750914e-13,        +8.360187268008e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.563531552915e-13,        +9.911440082390e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.567022448950e-13,        +9.910117380238e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+02,        +7.404557394293e-13,        +8.344447780836e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.589217783437e-13,        +9.860020645226e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.592706458449e-13,        +9.858750386481e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.25000000e+02,        +7.431065757808e-13,        +8.328676570498e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.614802489939e-13,        +9.809641811565e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.618288598142e-13,        +9.808423798681e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +7.457406535930e-13,        +8.312875669702e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.640292152907e-13,        +9.760292478948e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.643775373808e-13,        +9.759126510674e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.27000000e+02,        +7.483572459364e-13,        +8.297047148491e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.665693374466e-13,        +9.711961724073e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.669173413441e-13,        +9.710847596310e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +7.509556298891e-13,        +8.281193113421e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.691012881792e-13,        +9.664638817665e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.694489470689e-13,        +9.663576324358e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.29000000e+02,        +7.535350869237e-13,        +8.265315706711e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.716257531063e-13,        +9.618313239403e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.719730428850e-13,        +9.617302173481e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+02,        +7.560949032951e-13,        +8.249417105365e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.741434311996e-13,        +9.572974692988e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.744903305459e-13,        +9.572014847344e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.31000000e+02,        +7.586343704310e-13,        +8.233499520259e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.766550352990e-13,        +9.528613121418e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.770015257481e-13,        +9.527704289935e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+02,        +7.611527853223e-13,        +8.217565195202e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.791612926943e-13,        +9.485218722523e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.795073587182e-13,        +9.484360701157e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.33000000e+02,        +7.636494509156e-13,        +8.201616405964e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.816629457763e-13,        +9.442781964860e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.820085748701e-13,        +9.441974552784e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.34000000e+02,        +7.661236765045e-13,        +8.185655459275e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.841607527644e-13,        +9.401293604041e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.845059355398e-13,        +9.400536604845e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.35000000e+02,        +7.685747781217e-13,        +8.169684691795e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.866554885166e-13,        +9.360744699574e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.870002188024e-13,        +9.360037922539e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +7.710020789303e-13,        +8.153706469058e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.891479454278e-13,        +9.321126632329e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.894922203784e-13,        +9.320469893776e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.37000000e+02,        +7.734049096134e-13,        +8.137723184384e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.916389344242e-13,        +9.282431122719e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.919827546370e-13,        +9.281824247442e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.38000000e+02,        +7.757826087633e-13,        +8.121737257761e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.941292860626e-13,        +9.244650249725e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.944726557049e-13,        +9.244093072509e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.39000000e+02,        +7.781345232675e-13,        +8.105751134710e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.966198517423e-13,        +9.207776470867e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.969627786891e-13,        +9.207268838109e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+02,        +7.804600086931e-13,        +8.089767285113e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.991115050423e-13,        +9.171802643275e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.994540010246e-13,        +9.171344414714e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.41000000e+02,        +7.827584296680e-13,        +8.073788202021e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.016051431925e-13,        +9.136722046003e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.019472239594e-13,        +9.136313096565e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.42000000e+02,        +7.850291602585e-13,        +8.057816400436e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.041016886942e-13,        +9.102528403750e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.044433741874e-13,        +9.102168625520e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.43000000e+02,        +7.872715843437e-13,        +8.041854416069e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.066020911018e-13,        +9.069215912158e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.069434056454e-13,        +9.068905216502e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+02,        +7.894850959847e-13,        +8.025904804076e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.091073289831e-13,        +9.036779264905e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.094483014904e-13,        +9.036517584741e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.45000000e+02,        +7.916690997900e-13,        +8.009970137771e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.116184120755e-13,        +9.005213682803e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.119590762729e-13,        +9.005000975044e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.46000000e+02,        +7.938230112750e-13,        +7.994053007321e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.141363836574e-13,        +8.974514945144e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.144767783279e-13,        +8.974351193327e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.47000000e+02,        +7.959462572160e-13,        +7.978156018418e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.166623231563e-13,        +8.944679423567e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.170024924047e-13,        +8.944564640691e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.48000000e+02,        +7.980382759983e-13,        +7.962281790933e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.191973490190e-13,        +8.915704118757e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.195373425604e-13,        +8.915638350346e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.49000000e+02,        +8.000985179575e-13,        +7.946432957555e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.217426218706e-13,        +8.887586700305e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.220824953446e-13,        +8.887570027718e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+02,        +8.021264457139e-13,        +7.930612162414e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.242993479920e-13,        +8.860325550103e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.246391633052e-13,        +8.860358094122e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.51000000e+02,        +8.041215344995e-13,        +7.914822059685e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.268687831502e-13,        +8.833919809701e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.272086088493e-13,        +8.834001734421e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+02,        +8.060832724768e-13,        +7.899065312186e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.294522368192e-13,        +8.808369432093e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.297921484988e-13,        +8.808500949142e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.53000000e+02,        +8.080111610501e-13,        +7.883344589955e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.320510768329e-13,        +8.783675238453e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.323911575802e-13,        +8.783856611589e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.54000000e+02,        +8.099047151676e-13,        +7.867662568825e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.346667345162e-13,        +8.759838980410e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.350070753969e-13,        +8.760070530513e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.55000000e+02,        +8.117634636138e-13,        +7.852021928987e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.373007103477e-13,        +8.736863408517e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.376414109374e-13,        +8.737145519048e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.56000000e+02,        +8.135869492943e-13,        +7.836425353539e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.399545802101e-13,        +8.714752347656e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.402957491754e-13,        +8.715085470601e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.57000000e+02,        +8.153747295084e-13,        +7.820875527043e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.426300022932e-13,        +8.693510780186e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.429717580280e-13,        +8.693895442564e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.58000000e+02,        +8.171263762139e-13,        +7.805375134060e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.453287247199e-13,        +8.673144937769e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.456711960421e-13,        +8.673581748748e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.59000000e+02,        +8.188414762793e-13,        +7.789926857700e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.480525939754e-13,        +8.653662402892e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.483959208909e-13,        +8.654152061589e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+02,        +8.205196317267e-13,        +7.774533378152e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.508035642246e-13,        +8.635072221237e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.511478987640e-13,        +8.635615525272e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.61000000e+02,        +8.221604599626e-13,        +7.759197371233e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.535837076141e-13,        +8.617385026177e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.539292147529e-13,        +8.617982881070e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.62000000e+02,        +8.237635939978e-13,        +7.743921506921e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.563952256650e-13,        +8.600613176815e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.567420843315e-13,        +8.601266606324e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.63000000e+02,        +8.253286826552e-13,        +7.728708447906e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.592404618683e-13,        +8.584770911166e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.595888660523e-13,        +8.585481068649e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.64000000e+02,        +8.268553907657e-13,        +7.713560848133e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.621219156094e-13,        +8.569874516193e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.624720755799e-13,        +8.570642697149e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.65000000e+02,        +8.283433993522e-13,        +7.698481351364e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.650422575543e-13,        +8.555942516652e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.653944011985e-13,        +8.556770172539e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.66000000e+02,        +8.297924058003e-13,        +7.683472589738e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.680043466388e-13,        +8.542995884833e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.683587209344e-13,        +8.543884638322e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.67000000e+02,        +8.312021240174e-13,        +7.668537182343e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.710112488105e-13,        +8.531058273474e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.713681214445e-13,        +8.532009935305e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+02,        +8.325722845780e-13,        +7.653677733807e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.740662576749e-13,        +8.520156274299e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.744259188251e-13,        +8.521172861913e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.69000000e+02,        +8.339026348566e-13,        +7.638896832886e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.771729171987e-13,        +8.510319704787e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.775356814918e-13,        +8.511403462936e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+02,        +8.351929391471e-13,        +7.624197051085e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.803350466146e-13,        +8.501581925845e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.807012552800e-13,        +8.502735349399e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.71000000e+02,        +8.364429787686e-13,        +7.609580941277e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.835567676568e-13,        +8.493980193133e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.839267908919e-13,        +8.495206052322e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.72000000e+02,        +8.376525521587e-13,        +7.595051036354e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.868425342218e-13,        +8.487556044655e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.872167737894e-13,        +8.488857413007e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.73000000e+02,        +8.388214749524e-13,        +7.580609847887e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.901971645040e-13,        +8.482355727016e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.905760565797e-13,        +8.483736012271e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.74000000e+02,        +8.399495800477e-13,        +7.566259864810e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.936258755719e-13,        +8.478430662221e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.940098938605e-13,        +8.479893640516e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.75000000e+02,        +8.410367176577e-13,        +7.552003552126e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.971343202390e-13,        +8.475837956041e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.975239793776e-13,        +8.477387809679e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+02,        +8.420827553491e-13,        +7.537843349634e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.000728625912e-12,        +8.474640947602e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.001124485174e-12,        +8.476282306706e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.77000000e+02,        +8.430875780665e-13,        +7.523781670682e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.004415434863e-12,        +8.474909797801e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.004818102175e-12,        +8.476647786170e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.78000000e+02,        +8.440510881439e-13,        +7.509820900945e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.008201945034e-12,        +8.476722111093e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.008612081307e-12,        +8.478562396523e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.79000000e+02,        +8.449732053019e-13,        +7.495963397225e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.012095950020e-12,        +8.480163580811e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.012514273790e-12,        +8.482112430104e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+02,        +8.458538666314e-13,        +7.482211486289e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.016105876254e-12,        +8.485328641974e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.016533168605e-12,        +8.487392980771e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.81000000e+02,        +8.466930265642e-13,        +7.468567463723e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.020240814533e-12,        +8.492321106877e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.020677924265e-12,        +8.494508584270e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.82000000e+02,        +8.474906568297e-13,        +7.455033592824e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.024510541892e-12,        +8.501254746751e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.024958390851e-12,        +8.503573804437e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.83000000e+02,        +8.482467463981e-13,        +7.441612103518e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.028925528303e-12,        +8.512253766536e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.029385116749e-12,        +8.514713711904e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.84000000e+02,        +8.489613014109e-13,        +7.428305191309e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.033496920614e-12,        +8.525453097760e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.033969332460e-12,        +8.528064179858e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.85000000e+02,        +8.496343450975e-13,        +7.415115016255e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.038236493562e-12,        +8.540998405334e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.038722901219e-12,        +8.543771891961e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.86000000e+02,        +8.502659176789e-13,        +7.402043701981e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.043156554309e-12,        +8.559045665698e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.043658222762e-12,        +8.561993918941e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.87000000e+02,        +8.508560762582e-13,        +7.389093334712e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.048269782699e-12,        +8.579760124324e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.048788072330e-12,        +8.582896670604e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.88000000e+02,        +8.514048946978e-13,        +7.376265962340e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.053588984287e-12,        +8.603314378224e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.054125351741e-12,        +8.606653967221e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.89000000e+02,        +8.519124634837e-13,        +7.363563593517e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.059126727034e-12,        +8.629885252798e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.059682723232e-12,        +8.633443897409e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+02,        +8.523788895762e-13,        +7.350988196771e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.064894825673e-12,        +8.659649052426e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.065472089769e-12,        +8.663444039090e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.91000000e+02,        +8.528042962476e-13,        +7.338541699640e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.070903630633e-12,        +8.692774664821e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.071503878390e-12,        +8.696824520002e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.92000000e+02,        +8.531888229060e-13,        +7.326225987833e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.077161072142e-12,        +8.729413899838e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.077786076810e-12,        +8.733738294200e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.93000000e+02,        +8.535326249059e-13,        +7.314042904397e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.083671406719e-12,        +8.769688363688e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.084322970089e-12,        +8.774307930641e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.94000000e+02,        +8.538358733449e-13,        +7.301994248911e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.090433615875e-12,        +8.813672143173e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.091113526785e-12,        +8.818608183319e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.95000000e+02,        +8.540987548467e-13,        +7.290081776681e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.097439420464e-12,        +8.861369655702e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.098149397749e-12,        +8.866643693945e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.96000000e+02,        +8.543214713319e-13,        +7.278307197959e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.104670905401e-12,        +8.912688288082e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.105412522247e-12,        +8.918321447032e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.97000000e+02,        +8.545042397758e-13,        +7.266672177200e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.112097806849e-12,        +8.967406003597e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.112872393898e-12,        +8.973418157277e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.98000000e+02,        +8.546472919575e-13,        +7.255178332350e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.119674605862e-12,        +9.025135058252e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.120483131547e-12,        +9.031543736752e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.99000000e+02,        +8.547508742027e-13,        +7.243827234235e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.127337704094e-12,        +9.085284427333e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.128180632831e-12,        +9.092103459367e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+02,        +8.548152471255e-13,        +7.232620406064e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.135003124534e-12,        +9.147025509814e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.135880256852e-12,        +9.154263419658e-13,        +0.000000000000e+00,        +0.000000000000e+00
